0.09 (0.03), 0.07 (0.02), 0.05 (0.02), 0.11 (0.03)
0.08 (0.02), 0.12 (0.03), 0.13 (0.03), 0.13 (0.03)
0.11 (0.01), 0.10 (0.01), 0.04 (0.01), 0.12 (0.02)
0.05 (0.01), 0.13 (0.06), 0.07 (0.03), 0.08 (0.02)
0.96 (0.02), 0.96 (0.02), 0.98 (0.01), 0.96 (0.02)
0.97 (0.01), 0.93 (0.01), 0.91 (0.03), 0.93 (0.01)
0.96 (0.01), 0.97 (0.01), 0.97 (0.01), 0.97 (0.01)
0.95 (0.01), 0.84 (0.01), 0.88 (0.02), 0.91 (0.02)
0.95 (0.01), 0.93 (0.01), 0.94 (0.01), 0.94 (0.01)
0.94 (0.01), 0.70 (0.05), 0.79 (0.03), 0.83 (0.04)
